Order No,Movie Name,Movie Year,Movie Content URL,Movie Image URL,Movie Discription,Directors,Stars
12,Fantastic Beasts: The Secrets of Dumbledore,2022,/title/tt4123432/,"https://m.media-amazon.com/images/M/MV5BZGQ1NjQyNDMtNzFlZS00ZGIzLTliMWUtNGJkMGMzNTBjNDg0XkEyXkFqcGdeQXVyMTE1NDI5MDQx._V1_UX67_CR0,0,67,98_AL_.jpg","
Albus Dumbledore assigns Newt and his allies with a mission related to the rising power of Grindelwald.",David Yates,"Eddie Redmayne, 
Jude Law, 
Ezra Miller, 
Dan Fogler"
13,X,2022,/title/tt13560574/,"https://m.media-amazon.com/images/M/MV5BMTJiMmE5YWItOWZjYS00YTg0LWE0MTYtMzg2ZTY4YjNkNDEzXkEyXkFqcGdeQXVyMTAzMDg4NzU0._V1_UY98_CR5,0,67,98_AL_.jpg","
In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",Ti West,"Mia Goth, 
Jenna Ortega, 
Brittany Snow, 
Kid Cudi"
14,The Bad Guys,2022,/title/tt8115900/,"https://m.media-amazon.com/images/M/MV5BMDhkYmU0MzctMWEzNy00ODg1LWI3ZjAtMGZlZjkzNWVmMzVjXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UX67_CR0,0,67,98_AL_.jpg","
Several reformed yet misunderstood criminal animals attempt to become good, with some disastrous results along the way.",Pierre Perifel,"Sam Rockwell, 
Marc Maron, 
Awkwafina, 
Craig Robinson"
15,Death on the Nile,2022,/title/tt7657566/,"https://m.media-amazon.com/images/M/MV5BNjI4ZTQ1OTYtNTI0Yi00M2EyLThiNjMtMzk1MmZlOWMyMDQwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX67_CR0,0,67,98_AL_.jpg","
While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress.",Kenneth Branagh,"Tom Bateman, 
Annette Bening, 
Kenneth Branagh, 
Russell Brand"
16,Thor: Love and Thunder,2022,/title/tt10648342/,"https://m.media-amazon.com/images/M/MV5BMzJjZWYzNTctODgwOS00OGNiLTg4MjktMDlmNWUxNjczMzljXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UX67_CR0,0,67,98_AL_.jpg","
Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",Taika Waititi,"Taika Waititi, 
Natalie Portman, 
Karen Gillan, 
Christian Bale"
17,Sonic the Hedgehog 2,2022,/title/tt12412888/,"https://m.media-amazon.com/images/M/MV5BMGI1NjA1MjUtNGQxNC00NDYyLThjODgtZjFkZjQ4OGM0NDc5XkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_UX67_CR0,0,67,98_AL_.jpg","
When the manic Dr Robotnik returns to Earth with a new ally, Knuckles the Echidna, Sonic and his new friend Tails is all that stands in their way.",Jeff Fowler,"James Marsden, 
Jim Carrey, 
Ben Schwartz, 
Tika Sumpter"
18,Along for the Ride,2022,/title/tt14506528/,"https://m.media-amazon.com/images/M/MV5BZTAxNTRjYTQtYjg3ZC00NzI1LWE5YzgtZTIwMGU1NDBkYzBmXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_UY98_CR5,0,67,98_AL_.jpg","
The summer before college Auden meets the mysterious Eli, a fellow insomniac. While the seaside town of Colby sleeps, the two embark on a nightly quest to help Auden experience the fun, carefree teen life she never knew she wanted.",Sofia Alvarez,"Emma Pasarow, 
Belmont Cameli, 
Laura Kariuki, 
Kate Bosworth"
19,The Unbearable Weight of Massive Talent,2022,/title/tt11291274/,"https://m.media-amazon.com/images/M/MV5BNDM2ODNiMWItOWRkNS00ODE3LWE2OGYtNTZkMDJkOWI1ODMxXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX67_CR0,0,67,98_AL_.jpg","
In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).",Tom Gormican,"Nicolas Cage, 
Pedro Pascal, 
Tiffany Haddish, 
Sharon Horgan"
20,Loin du périph,2022,/title/tt13822738/,"https://m.media-amazon.com/images/M/MV5BZjNmMWFjZmUtZWYyMy00YTE4LTlhNzEtMTBlMGFkMzNmOTE3XkEyXkFqcGdeQXVyNjE4ODA3NTY@._V1_UX67_CR0,0,67,98_AL_.jpg","
Diakité and Monge as police officers who are the complete opposite, and get paired together to uncover an unexpectedly big criminal case.",Louis Leterrier,"Omar Sy, 
Laurent Lafitte, 
Izïa Higelin, 
Dimitri Storoge"
21,Ambulance,2022,/title/tt4998632/,"https://m.media-amazon.com/images/M/MV5BYjUyN2VlZGEtNGEyZC00YjViLTgwYmQtZDJiM2FlOTU3Mjg2XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX67_CR0,0,67,98_AL_.jpg","
Two robbers steal an ambulance after their heist goes awry.",Michael Bay,"Jake Gyllenhaal, 
Yahya Abdul-Mateen II, 
Eiza González, 
Garret Dillahunt"
